serialNumber,date,latestFullness,fullnessThreshold,reason_code,longitude,latitude,year,month,day,weekday
1510830,2018-11-19,8.857142857142858,6.0,1,144.6601949611,-37.9018111375,2018,11,19,0
1510830,2018-11-20,9.142857142857142,6.0,1,144.6601949611,-37.9018111375,2018,11,20,1
1510830,2018-11-21,9.428571428571429,6.0,1,144.6601949611,-37.9018111375,2018,11,21,2
1510830,2018-11-22,9.714285714285714,6.0,1,144.6601949611,-37.9018111375,2018,11,22,3
1510830,2018-11-23,10.0,6.0,1,144.6601949611,-37.9018111375,2018,11,23,4
1510830,2018-11-24,9.0,6.0,1,144.6601949611,-37.9018111375,2018,11,24,5
1510830,2018-11-25,8.0,6.0,1,144.6601949611,-37.9018111375,2018,11,25,6
1510830,2018-11-26,7.0,6.0,1,144.6601949611,-37.9018111375,2018,11,26,0
1510830,2018-11-27,6.0,6.0,1,144.6601949611,-37.9018111375,2018,11,27,1
1510830,2018-11-28,5.0,6.0,1,144.6601949611,-37.9018111375,2018,11,28,2
1510830,2018-11-29,4.0,6.0,2,144.6601949611,-37.9018111375,2018,11,29,3
1510830,2018-11-30,6.0,6.0,1,144.6601949611,-37.9018111375,2018,11,30,4
1510830,2018-12-01,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,1,5
1510830,2018-12-02,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,2,6
1510830,2018-12-03,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,3,0
1510830,2018-12-04,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,4,1
1510830,2018-12-05,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,5,2
1510830,2018-12-06,4.0,6.0,2,144.6601949611,-37.9018111375,2018,12,6,3
1510830,2018-12-07,10.0,6.0,1,144.6601949611,-37.9018111375,2018,12,7,4
1510830,2018-12-08,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,8,5
1510830,2018-12-09,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,9,6
1510830,2018-12-10,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,10,0
1510830,2018-12-11,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,11,1
1510830,2018-12-12,4.0,6.0,2,144.6601949611,-37.9018111375,2018,12,12,2
1510830,2018-12-13,2.666666666666667,6.0,2,144.6601949611,-37.9018111375,2018,12,13,3
1510830,2018-12-14,1.3333333333333335,6.0,2,144.6601949611,-37.9018111375,2018,12,14,4
1510830,2018-12-15,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,15,5
1510830,2018-12-16,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,16,6
1510830,2018-12-17,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,17,0
1510830,2018-12-18,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,18,1
1510830,2018-12-19,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,19,2
